################################################################
# ThreatFox IOCs: recent ip-port - CSV format                  #
# Last updated: 2025-07-08 18:03:11 UTC                        #
#                                                              #
# Terms Of Use: https://threatfox.abuse.ch/faq/#tos            #
# For questions please contact threatfox [at] abuse.ch         #
################################################################
#
# "first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","reference","tags","anonymous","reporter"
"2025-07-08 18:03:11", "1554601", "47.76.115.9:443", "ip:port", "botnet_cc", "win.valley_rat", "Winos", "ValleyRAT", "", "100", "https://tria.ge/250708-vc24asvvhx", "AS45102,C2,rat,triage,valleyrat", "0", "DonPasci"
"2025-07-08 18:03:10", "1554599", "45.207.39.135:6666", "ip:port", "botnet_cc", "win.valley_rat", "Winos", "ValleyRAT", "", "100", "https://tria.ge/250708-qw9j9sgk9t", "AS133199,C2,rat,triage,valleyrat", "0", "DonPasci"
"2025-07-08 18:03:10", "1554600", "45.207.39.135:8888", "ip:port", "botnet_cc", "win.valley_rat", "Winos", "ValleyRAT", "", "100", "https://tria.ge/250708-qw9j9sgk9t", "AS133199,C2,rat,triage,valleyrat", "0", "DonPasci"
"2025-07-08 18:01:21", "1554595", "194.26.192.233:4781", "ip:port", "botnet_cc", "win.quasar_rat", "CinaRAT,QuasarRAT,Yggdrasil", "Quasar RAT", "", "100", "https://tria.ge/250708-r61wjswlz8", "AS210558,C2,quasar,rat,triage", "0", "DonPasci"
"2025-07-08 18:01:07", "1554592", "51.38.29.129:7000", "ip:port", "botnet_cc", "win.remcos", "RemcosRAT,Remvio,Socmer", "Remcos", "", "100", "https://tria.ge/250708-tqez9avsbv", "AS16276,C2,rat,remcos,triage", "0", "DonPasci"
"2025-07-08 18:01:06", "1554591", "104.131.57.194:5577", "ip:port", "botnet_cc", "win.remcos", "RemcosRAT,Remvio,Socmer", "Remcos", "", "100", "https://tria.ge/250708-sj3x3awmz6", "AS14061,C2,rat,remcos,triage", "0", "DonPasci"
"2025-07-08 18:00:50", "1554589", "87.120.113.179:7000", "ip:port", "botnet_cc", "win.xworm", "None", "XWorm", "", "100", "https://tria.ge/250708-tm7k4at1hz", "C2,triage,xworm", "0", "DonPasci"
"2025-07-08 16:38:32", "1554534", "51.195.123.116:8041", "ip:port", "botnet_cc", "unknown_rat", "None", "Unknown RAT", "", "75", "https://bazaar.abuse.ch/sample/e9eec0c02ac6d8b13332cc14ce7a035572f9d45080e817bd7e30e5e6f46bdc6d/", "ConnectWise,ScreenConnect", "0", "abuse_ch"
"2025-07-08 16:01:16", "1554531", "156.238.243.16:8089", "ip:port", "botnet_cc", "apk.hook", "None", "Hook", "", "100", "https://search.censys.io/hosts/156.238.243.16", "AS142032,C2,censys,HFTCL-AS-AP,Hookbot", "0", "DonPasci"
"2025-07-08 16:01:15", "1554530", "156.238.243.16:80", "ip:port", "botnet_cc", "apk.hook", "None", "Hook", "", "100", "https://search.censys.io/hosts/156.238.243.16", "AS142032,C2,censys,HFTCL-AS-AP,Hookbot", "0", "DonPasci"
"2025-07-08 16:01:08", "1554529", "8.149.137.211:8808", "ip:port", "botnet_cc", "win.asyncrat", "None", "AsyncRAT", "", "100", "https://search.censys.io/hosts/8.149.137.211", "ALIBABA-CN-NET,AS37963,AsyncRAT,C2,censys,RAT", "0", "DonPasci"
"2025-07-08 16:00:37", "1554528", "101.43.62.241:443", "ip:port", "botnet_cc", "win.cobalt_strike", "Agentemis,BEACON,CobaltStrike,cobeacon", "Cobalt Strike", "", "100", "https://search.censys.io/hosts/101.43.62.241", "AS45090,C2,censys,CobaltStrike,cs-watermark-987654321,TENCENT-NET-AP", "0", "DonPasci"
"2025-07-08 15:09:03", "1554522", "185.185.71.66:80", "ip:port", "botnet_cc", "win.strelastealer", "None", "StrelaStealer", "", "75", "", "StrelaStealer", "0", "abuse_ch"
"2025-07-08 14:47:15", "1554521", "107.172.232.83:13047", "ip:port", "botnet_cc", "win.remcos", "RemcosRAT,Remvio,Socmer", "Remcos", "", "75", "https://bazaar.abuse.ch/sample/2e50d3a8e3fa7385e6bd42f7cb73cf7cc7365b5544324b485271bbbc39b40e2a/", "remcos", "0", "abuse_ch"
"2025-07-08 14:37:50", "1554519", "107.150.0.218:8041", "ip:port", "botnet_cc", "unknown_rat", "None", "Unknown RAT", "", "75", "https://bazaar.abuse.ch/sample/2e7de86fcb5a87a88da4c49d3d388d84194c95a791b2b1587daa5955056451e5/", "ConnectWise,ScreenConnect", "0", "abuse_ch"
"2025-07-08 14:36:41", "1554518", "154.82.85.102:8083", "ip:port", "botnet_cc", "unknown_rat", "None", "Unknown RAT", "", "75", "https://bazaar.abuse.ch/sample/57f0888ec2f3eb3643c91761e5ca62fd9cad22ea3f029826c935e07ff3aa8344/", "AnyDesk", "0", "abuse_ch"
"2025-07-08 14:35:17", "1554516", "107.150.0.234:8041", "ip:port", "botnet_cc", "unknown_rat", "None", "Unknown RAT", "", "75", "https://bazaar.abuse.ch/sample/5f77465a62a1535e103ff32f3a922959661ba5e8b0b385384d507dc4be8f299a/", "ConnectWise,Screenconnect", "0", "abuse_ch"
"2025-07-08 14:32:55", "1554513", "147.124.215.2:5577", "ip:port", "botnet_cc", "win.remcos", "RemcosRAT,Remvio,Socmer", "Remcos", "", "75", "https://bazaar.abuse.ch/sample/acce28416a93d652360912f2bb06d5aeee4db58a181497251d2a834a5f33e13a/", "remcos", "0", "abuse_ch"
"2025-07-08 14:31:20", "1554511", "95.216.69.187:5555", "ip:port", "botnet_cc", "win.netsupportmanager_rat", "NetSupport", "NetSupportManager RAT", "", "75", "", "NetSupport,RAT", "0", "abuse_ch"
"2025-07-08 14:06:18", "1554508", "45.133.174.35:2404", "ip:port", "botnet_cc", "win.remcos", "RemcosRAT,Remvio,Socmer", "Remcos", "", "100", "None", "RAT,RemcosRAT", "0", "abuse_ch"
"2025-07-08 13:01:44", "1554500", "202.79.173.94:9090", "ip:port", "botnet_cc", "win.valley_rat", "Winos", "ValleyRAT", "", "100", "None", "RAT,ValleyRAT", "0", "abuse_ch"
"2025-07-08 12:04:08", "1554492", "146.70.226.130:42475", "ip:port", "botnet_cc", "win.nanocore", "Nancrat,NanoCore", "Nanocore RAT", "", "100", "https://tria.ge/250708-jt4gxavvew", "AS9009,C2,M247,nanocore,rat,triage", "0", "DonPasci"
"2025-07-08 12:02:19", "1554490", "134.122.189.56:80", "ip:port", "botnet_cc", "win.valley_rat", "Winos", "ValleyRAT", "", "100", "https://tria.ge/250708-nvlqpsdm7z", "AS152194,C2,CTGSERVERLIMITED-AS-AP,rat,triage,valleyrat", "0", "DonPasci"
"2025-07-08 12:02:18", "1554488", "134.122.189.56:6666", "ip:port", "botnet_cc", "win.valley_rat", "Winos", "ValleyRAT", "", "100", "https://tria.ge/250708-nvlqpsdm7z", "AS152194,C2,CTGSERVERLIMITED-AS-AP,rat,triage,valleyrat", "0", "DonPasci"
"2025-07-08 12:02:18", "1554489", "134.122.189.56:8888", "ip:port", "botnet_cc", "win.valley_rat", "Winos", "ValleyRAT", "", "100", "https://tria.ge/250708-nvlqpsdm7z", "AS152194,C2,CTGSERVERLIMITED-AS-AP,rat,triage,valleyrat", "0", "DonPasci"
"2025-07-08 12:02:17", "1554487", "154.37.214.53:1123", "ip:port", "botnet_cc", "win.valley_rat", "Winos", "ValleyRAT", "", "100", "https://tria.ge/250708-kt5kmsbr7t", "AS979,C2,NETLAB-SDN,rat,triage,valleyrat", "0", "DonPasci"
"2025-07-08 12:02:16", "1554485", "154.37.214.53:4080", "ip:port", "botnet_cc", "win.valley_rat", "Winos", "ValleyRAT", "", "100", "https://tria.ge/250708-kt5kmsbr7t", "AS979,C2,NETLAB-SDN,rat,triage,valleyrat", "0", "DonPasci"
"2025-07-08 12:02:16", "1554486", "154.37.214.53:4090", "ip:port", "botnet_cc", "win.valley_rat", "Winos", "ValleyRAT", "", "100", "https://tria.ge/250708-kt5kmsbr7t", "AS979,C2,NETLAB-SDN,rat,triage,valleyrat", "0", "DonPasci"
"2025-07-08 12:02:03", "1554484", "54.219.186.229:443", "ip:port", "botnet_cc", "win.bianlian", "None", "BianLian", "", "100", "https://search.censys.io/hosts/54.219.186.229", "AMAZON-02,AS16509,BianLian,C2,censys", "0", "DonPasci"
"2025-07-08 12:02:01", "1554483", "62.210.113.45:10001", "ip:port", "botnet_cc", "win.extreme_rat", "ExtRat", "Xtreme RAT", "", "100", "https://search.censys.io/hosts/62.210.113.45", "AS12876,C2,censys,Online,RAT", "0", "DonPasci"
"2025-07-08 12:01:59", "1554482", "85.209.195.214:10001", "ip:port", "botnet_cc", "win.extreme_rat", "ExtRat", "Xtreme RAT", "", "100", "https://search.censys.io/hosts/85.209.195.214", "AS44477,C2,censys,RAT,THE-HOSTING", "0", "DonPasci"
"2025-07-08 12:01:35", "1554480", "124.156.166.6:80", "ip:port", "botnet_cc", "win.nimplant", "None", "Nimplant", "", "100", "https://search.censys.io/hosts/124.156.166.6", "AS132203,C2,censys,Nimplant,TENCENT-NET-AP-CN", "0", "DonPasci"
"2025-07-08 12:01:30", "1554479", "179.95.204.243:9990", "ip:port", "botnet_cc", "win.netsupportmanager_rat", "NetSupport", "NetSupportManager RAT", "", "100", "https://search.censys.io/hosts/179.95.204.243", "AS18881,C2,censys,Netsupport,RAT,TELEFONICA", "0", "DonPasci"
"2025-07-08 12:01:29", "1554478", "18.191.218.224:4582", "ip:port", "botnet_cc", "win.netsupportmanager_rat", "NetSupport", "NetSupportManager RAT", "", "100", "https://search.censys.io/hosts/18.191.218.224", "AMAZON-02,AS16509,C2,censys,Netsupport,RAT", "0", "DonPasci"
"2025-07-08 12:01:25", "1554476", "71.175.176.100:4782", "ip:port", "botnet_cc", "win.quasar_rat", "CinaRAT,QuasarRAT,Yggdrasil", "Quasar RAT", "", "100", "https://tria.ge/250708-hkgq4sfm4s", "AS701,C2,quasar,rat,triage,UUNET", "0", "DonPasci"
"2025-07-08 12:01:25", "1554477", "27.254.164.212:443", "ip:port", "botnet_cc", "win.havoc", "Havokiz", "Havoc", "", "100", "https://search.censys.io/hosts/27.254.164.212", "AS59374,BANGMODENTERPRISE-AS-AP,C2,censys,Havoc", "0", "DonPasci"
"2025-07-08 12:01:21", "1554475", "134.199.166.195:7443", "ip:port", "botnet_cc", "unknown", "None", "Unknown malware", "", "100", "https://search.censys.io/hosts/134.199.166.195", "AS14061,C2,censys,DIGITALOCEAN-ASN,Mythic", "0", "DonPasci"
"2025-07-08 12:01:15", "1554474", "16.171.147.206:8808", "ip:port", "botnet_cc", "win.asyncrat", "None", "AsyncRAT", "", "100", "https://search.censys.io/hosts/16.171.147.206", "AMAZON-02,AS16509,AsyncRAT,C2,censys,RAT", "0", "DonPasci"
"2025-07-08 12:01:14", "1554473", "134.122.183.217:8808", "ip:port", "botnet_cc", "win.asyncrat", "None", "AsyncRAT", "", "100", "https://search.censys.io/hosts/134.122.183.217", "AS152194,AsyncRAT,C2,censys,CTGSERVERLIMITED-AS-AP,RAT", "0", "DonPasci"
